Pkgname,documentVersion,timestampMsec,starRating,comment,personId,name,image
com.spotify.music,8.5.57.1164,1589739645932,2,"Sometimes it works perfectly. But most of the times, it takes forever to load my songs, takes very long to play songs after I've clicked them (even though they're saved songs !) And it takes long for spotify to get online, although my internet is good. I've tried some things but can't figure it out. 2 stars out of 5. Would be 5 if it just worked as it should. (I have premium if that matters for the review)",108349433170153177240,ruben pijpers,https://lh3.googleusercontent.com/a-/AOh14Gg8A69AUEbkP0Qubc3_NB-v3yKxcQF3EQ9KnaQUpQ
com.spotify.music,8.5.57.1164,1589742449082,5,"When it comes down to it, it's the interface that spotify uses that I like. While there are some bands that I wish they had in their library, it's that bands that choose whether or not to promote their music on a streaming service, like spotify. I pay $15 per month to have myself and my partner on the service, and that is totally acceptable. I don't care for Pandora, and Apple music can F right off, lol.",113027443958276658690,Andrew Tozier,https://lh3.googleusercontent.com/a-/AOh14GjL3SMHsVmW-5lXHZPDMd122FXlPQhhpNGxJZY58g
com.spotify.music,8.5.57.1164,1589664670022,4,"This app is FANTASTIC!!! You can play anything you like, including podcasts. I would certainly recommend Premium. It is worth the money, although I have the family plan. Also, ads in free mode are not often, and the songs can actually continue playing a bitafter connection to Internet stops, due to cache. Fantastic app if you want music on the dot. P.S. Spotify, can you please fix the issue where there is an Internet connection, but the app thinks there isn't. This is why I have given it 4 stars",115197476986038387360,Cadel,https://lh3.googleusercontent.com/a-/AOh14GibG8c38HhxmwSEHFQaineI3h3g0hP4x1kIFElj
com.spotify.music,8.5.57.1164,1589530834003,2,"I loved Spotify for a long time but it's been glitching for a while. Whenever I press on a song my entire liked playlist starts over. It's been doing this for about 3 weeks now and it's starting to irritate me. To the point that I want to cancel my no ad subscription and start using Pandora instead and I hate Pandora. A couple weeks later and now some of the ""buttons"" aren't working. It won't let me look at my queue. I made sure it wasn't my device that was broken",113710614455955368039,Leylani Valencia,https://lh3.googleusercontent.com/a-/AOh14GgURX5FJH2O-x2OOXf2KVWnh2Ul0LXs2sjUDyCNoZQ
com.spotify.music,8.5.57.1164,1589646142744,5,I love it. While I play videogames on PS4 I can listen to Spotify. While I do homework I listen to Spotify. The only problem I have are the ads. And ads are fine. But I have like 2 ads keep repeating themselves. It's so repetitive. Ads are crucial for a company but it gets annoying hearing the same guy every three songs talking about how he cried in school about a maths test. But other than that it's incredible.,101000286816131391154,Big Smoke,https://lh3.googleusercontent.com/a-/AOh14Gjoo-RoU3he1Fyj6QcUjFVthV7WplXcijrUj4HZtg
com.spotify.music,8.5.57.1164,1589579782115,1,"You have to get premium to play a specific song. The only reason I still have it installed is because of the podcasts. Would've liked a warning beforehand about premium, but no, you guys just wasted my time. And to put the cherry on top, the app is really glitchy. Just go to YouTube to listen to your music. At least they don't force you to get premium.",112275113355201132381,Xman G.G.,https://lh3.googleusercontent.com/a-/AOh14GgsfvbReF--sbY7H5S0JVIqeWbggvK27haCTvuzkA
com.spotify.music,8.5.57.1164,1589651590310,5,"I like Spotify a lot and have used it for years. The new update on my s10e stops playing when my phone goes to sleep. All I have to do is make up the screen, but then after a minute or so, music stops. Sometimes only seconds. Frustrating! 😡 Fix this, please! Edit 5/16/2020 - Spotify is my favorite music app. I like that my whole family can be on their own profile and U can listen to just about anything whenever I want. Navigating the app and music is pretty easy, also. Great job, Spotify.",107255372606261990983,David Rafael,https://lh3.googleusercontent.com/-vpwkU5Lffik/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclHA6ieGbZs6PMHos9TQevsfI5VQw/photo.jpg
com.spotify.music,8.5.57.1164,1589690016747,3,"Spotify is amazing! But for some reason my playlist looks different. It says something ""you added"" and then a bunch of songs, and then ""we added"" and then a bunch of songs. But that's not my problem. My problem is that the songs don't go out in a line with the picture to the left. It's as if my songs a being written down, I hope you get what I mean!💕💕",110804076516820975279,Ella Schuster,https://lh3.googleusercontent.com/-uR7sZQbLR3M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnSzf0pzKFubp0Fa6RIcpMA82B-gg/photo.jpg
com.spotify.music,8.5.57.1164,1589632580875,3,"The app is good and the sound quality is also good. However when using Spotify to play music over WiFi there is lag with the volume control. This has been a fault from the beginning and results in the volume sometimes playing catch up and the music goes too loud. Add to that that when you want to shuffle a playlist, anything over 100 or so songs doesn't work and songs get repeated. It's about time these obvious flaws were fixed. I may need to switch to another music service.",105592093415079136318,Steve Brooks,https://lh3.googleusercontent.com/-nHHPUojyt_Y/AAAAAAAAAAI/AAAAAAAAHvI/AMZuuckpznJKirIx6rKoTIeH_Z31xrc6Nw/photo.jpg
com.spotify.music,8.5.57.1164,1589522198412,5,"This app let's me listen to old and new songs, file volume is regulated so you don't have to adjust volume for each music, if you are connected on social media (fb) it let's you see what your other friends are listening to, i don't know if this is also the case for others but I have a deferred payment (subscription fee) until june (due to covid-19), you can also listen to podcasts and audio book. It's very versatile and efficient. Thank you!",114985586399885041502,Maric Gamora,https://lh3.googleusercontent.com/a-/AOh14Gj2aItoJD0ejmfeCOVSAv7kBFp6vgHw_bP2-0k7Ag
